sub roi condition position similarity
s001 reslice-L-10d-ROI intact 1 0.12940
s001 reslice-L-10d-ROI scrambled 1 0.15415
s001 reslice-L-10d-ROI random 1 0.17780
s001 reslice-L-10pp-ROI intact 1 0.13435
s001 reslice-L-10pp-ROI scrambled 1 -0.09162
s001 reslice-L-10pp-ROI random 1 0.16678
s001 reslice-L-10r-ROI intact 1 -0.05290
s001 reslice-L-10r-ROI scrambled 1 -0.12808
s001 reslice-L-10r-ROI random 1 0.03284
s001 reslice-L-10v-ROI intact 1 0.02492
s001 reslice-L-10v-ROI scrambled 1 -0.10718
s001 reslice-L-10v-ROI random 1 0.12341
s001 reslice-L-11l-ROI intact 1 0.01123
s001 reslice-L-11l-ROI scrambled 1 -0.19795
s001 reslice-L-11l-ROI random 1 -0.01750
s001 reslice-L-13l-ROI intact 1 -0.05904
s001 reslice-L-13l-ROI scrambled 1 -0.12120
s001 reslice-L-13l-ROI random 1 -0.05325
s001 reslice-L-1-ROI intact 1 0.22308
s001 reslice-L-1-ROI scrambled 1 0.23059
s001 reslice-L-1-ROI random 1 0.07826
s001 reslice-L-23c-ROI intact 1 0.01084
s001 reslice-L-23c-ROI scrambled 1 0.12788
s001 reslice-L-23c-ROI random 1 0.27446
s001 reslice-L-23d-ROI intact 1 -0.01952
s001 reslice-L-23d-ROI scrambled 1 0.10911
s001 reslice-L-23d-ROI random 1 0.09086
s001 reslice-L-24dd-ROI intact 1 0.00556
s001 reslice-L-24dd-ROI scrambled 1 0.23553
s001 reslice-L-24dd-ROI random 1 0.15440
s001 reslice-L-24dv-ROI intact 1 -0.20561
s001 reslice-L-24dv-ROI scrambled 1 -0.02363
s001 reslice-L-24dv-ROI random 1 -0.11719
s001 reslice-L-25-ROI intact 1 0.15705
s001 reslice-L-25-ROI scrambled 1 -0.06188
s001 reslice-L-25-ROI random 1 0.07034
s001 reslice-L-2-ROI intact 1 0.26110
s001 reslice-L-2-ROI scrambled 1 0.24718
s001 reslice-L-2-ROI random 1 -0.01717
s001 reslice-L-31a-ROI intact 1 -0.05102
s001 reslice-L-31a-ROI scrambled 1 0.39593
s001 reslice-L-31a-ROI random 1 0.17021
s001 reslice-L-31pd-ROI intact 1 -0.05503
s001 reslice-L-31pd-ROI scrambled 1 0.07907
s001 reslice-L-31pd-ROI random 1 0.10671
s001 reslice-L-31pv-ROI intact 1 -0.04917
s001 reslice-L-31pv-ROI scrambled 1 0.20891
s001 reslice-L-31pv-ROI random 1 -0.05663
s001 reslice-L-33pr-ROI intact 1 -0.03406
s001 reslice-L-33pr-ROI scrambled 1 0.25258
s001 reslice-L-33pr-ROI random 1 -0.03085
s001 reslice-L-3a-ROI intact 1 0.02043
s001 reslice-L-3a-ROI scrambled 1 0.16494
s001 reslice-L-3a-ROI random 1 0.03082
s001 reslice-L-3b-ROI intact 1 0.02462
s001 reslice-L-3b-ROI scrambled 1 0.11641
s001 reslice-L-3b-ROI random 1 0.10741
s001 reslice-L-43-ROI intact 1 0.13313
s001 reslice-L-43-ROI scrambled 1 0.18803
s001 reslice-L-43-ROI random 1 -0.01928
s001 reslice-L-44-ROI intact 1 -0.01122
s001 reslice-L-44-ROI scrambled 1 -0.04720
s001 reslice-L-44-ROI random 1 0.08627
s001 reslice-L-45-ROI intact 1 0.10220
s001 reslice-L-45-ROI scrambled 1 -0.15090
s001 reslice-L-45-ROI random 1 0.10746
s001 reslice-L-46-ROI intact 1 -0.04177
s001 reslice-L-46-ROI scrambled 1 0.14921
s001 reslice-L-46-ROI random 1 0.05616
s001 reslice-L-47l-ROI intact 1 0.13943
s001 reslice-L-47l-ROI scrambled 1 -0.24456
s001 reslice-L-47l-ROI random 1 0.07111
s001 reslice-L-47m-ROI intact 1 -0.10113
s001 reslice-L-47m-ROI scrambled 1 -0.16995
s001 reslice-L-47m-ROI random 1 0.02682
s001 reslice-L-47s-ROI intact 1 -0.06290
s001 reslice-L-47s-ROI scrambled 1 -0.02624
s001 reslice-L-47s-ROI random 1 -0.04557
s001 reslice-L-4-ROI intact 1 0.02421
s001 reslice-L-4-ROI scrambled 1 0.00768
s001 reslice-L-4-ROI random 1 0.11063
s001 reslice-L-52-ROI intact 1 0.06001
s001 reslice-L-52-ROI scrambled 1 0.01300
s001 reslice-L-52-ROI random 1 0.11255
s001 reslice-L-55b-ROI intact 1 0.37386
s001 reslice-L-55b-ROI scrambled 1 -0.05558
s001 reslice-L-55b-ROI random 1 0.25151
s001 reslice-L-5L-ROI intact 1 -0.00732
s001 reslice-L-5L-ROI scrambled 1 0.14878
s001 reslice-L-5L-ROI random 1 -0.08427
s001 reslice-L-5m-ROI intact 1 0.17724
s001 reslice-L-5m-ROI scrambled 1 0.19508
s001 reslice-L-5m-ROI random 1 0.27728
s001 reslice-L-5mv-ROI intact 1 0.12993
s001 reslice-L-5mv-ROI scrambled 1 0.20148
s001 reslice-L-5mv-ROI random 1 0.13318
s001 reslice-L-6a-ROI intact 1 0.04811
s001 reslice-L-6a-ROI scrambled 1 -0.01744
s001 reslice-L-6a-ROI random 1 0.01269
s001 reslice-L-6d-ROI intact 1 0.06006
s001 reslice-L-6d-ROI scrambled 1 -0.02614
s001 reslice-L-6d-ROI random 1 0.08327
s001 reslice-L-6ma-ROI intact 1 -0.05032
s001 reslice-L-6ma-ROI scrambled 1 -0.06141
s001 reslice-L-6ma-ROI random 1 0.06450
s001 reslice-L-6mp-ROI intact 1 -0.05883
s001 reslice-L-6mp-ROI scrambled 1 0.08971
s001 reslice-L-6mp-ROI random 1 0.05234
s001 reslice-L-6r-ROI intact 1 0.17113
s001 reslice-L-6r-ROI scrambled 1 0.15649
s001 reslice-L-6r-ROI random 1 0.05224
s001 reslice-L-6v-ROI intact 1 0.10659
s001 reslice-L-6v-ROI scrambled 1 0.00355
s001 reslice-L-6v-ROI random 1 0.00627
s001 reslice-L-7AL-ROI intact 1 -0.02200
s001 reslice-L-7AL-ROI scrambled 1 0.11312
s001 reslice-L-7AL-ROI random 1 -0.02213
s001 reslice-L-7Am-ROI intact 1 0.10810
s001 reslice-L-7Am-ROI scrambled 1 0.10420
s001 reslice-L-7Am-ROI random 1 0.10892
s001 reslice-L-7PC-ROI intact 1 -0.03812
s001 reslice-L-7PC-ROI scrambled 1 0.08355
s001 reslice-L-7PC-ROI random 1 0.03511
s001 reslice-L-7PL-ROI intact 1 -0.10285
s001 reslice-L-7PL-ROI scrambled 1 0.07189
s001 reslice-L-7PL-ROI random 1 0.01001
s001 reslice-L-7Pm-ROI intact 1 -0.04760
s001 reslice-L-7Pm-ROI scrambled 1 0.04322
s001 reslice-L-7Pm-ROI random 1 0.00473
s001 reslice-L-7m-ROI intact 1 -0.04743
s001 reslice-L-7m-ROI scrambled 1 0.07315
s001 reslice-L-7m-ROI random 1 0.03251
s001 reslice-L-8Ad-ROI intact 1 -0.00783
s001 reslice-L-8Ad-ROI scrambled 1 0.13464
s001 reslice-L-8Ad-ROI random 1 0.13614
s001 reslice-L-8Av-ROI intact 1 0.14655
s001 reslice-L-8Av-ROI scrambled 1 -0.02468
s001 reslice-L-8Av-ROI random 1 0.12504
s001 reslice-L-8BL-ROI intact 1 0.09910
s001 reslice-L-8BL-ROI scrambled 1 -0.06196
s001 reslice-L-8BL-ROI random 1 0.15116
s001 reslice-L-8BM-ROI intact 1 0.10559
s001 reslice-L-8BM-ROI scrambled 1 0.08595
s001 reslice-L-8BM-ROI random 1 0.16604
s001 reslice-L-8C-ROI intact 1 0.05608
s001 reslice-L-8C-ROI scrambled 1 -0.03608
s001 reslice-L-8C-ROI random 1 0.23552
s001 reslice-L-9-46d-ROI intact 1 -0.03463
s001 reslice-L-9-46d-ROI scrambled 1 0.30217
s001 reslice-L-9-46d-ROI random 1 0.03778
s001 reslice-L-9a-ROI intact 1 -0.01602
s001 reslice-L-9a-ROI scrambled 1 0.17078
s001 reslice-L-9a-ROI random 1 0.04819
s001 reslice-L-9m-ROI intact 1 0.08450
s001 reslice-L-9m-ROI scrambled 1 0.04842
s001 reslice-L-9m-ROI random 1 0.13287
s001 reslice-L-9p-ROI intact 1 0.00350
s001 reslice-L-9p-ROI scrambled 1 0.22915
s001 reslice-L-9p-ROI random 1 0.16142
s001 reslice-L-A1-ROI intact 1 -0.05062
s001 reslice-L-A1-ROI scrambled 1 0.16015
s001 reslice-L-A1-ROI random 1 -0.01767
s001 reslice-L-A4-ROI intact 1 0.07247
s001 reslice-L-A4-ROI scrambled 1 0.00245
s001 reslice-L-A4-ROI random 1 0.03834
s001 reslice-L-A5-ROI intact 1 0.02807
s001 reslice-L-A5-ROI scrambled 1 0.01672
s001 reslice-L-A5-ROI random 1 0.01078
s001 reslice-L-AAIC-ROI intact 1 0.03288
s001 reslice-L-AAIC-ROI scrambled 1 -0.04972
s001 reslice-L-AAIC-ROI random 1 0.11310
s001 reslice-L-AIP-ROI intact 1 0.10317
s001 reslice-L-AIP-ROI scrambled 1 0.18839
s001 reslice-L-AIP-ROI random 1 0.08127
s001 reslice-L-AVI-ROI intact 1 0.11830
s001 reslice-L-AVI-ROI scrambled 1 0.08885
s001 reslice-L-AVI-ROI random 1 0.16890
s001 reslice-L-DVT-ROI intact 1 -0.26449
s001 reslice-L-DVT-ROI scrambled 1 0.05237
s001 reslice-L-DVT-ROI random 1 0.08875
s001 reslice-L-EC-ROI intact 1 0.18788
s001 reslice-L-EC-ROI scrambled 1 0.02787
s001 reslice-L-EC-ROI random 1 0.24437
s001 reslice-L-FEF-ROI intact 1 0.29739
s001 reslice-L-FEF-ROI scrambled 1 -0.07497
s001 reslice-L-FEF-ROI random 1 0.18557
s001 reslice-L-FFC-ROI intact 1 -0.05785
s001 reslice-L-FFC-ROI scrambled 1 -0.15628
s001 reslice-L-FFC-ROI random 1 -0.01162
s001 reslice-L-FOP1-ROI intact 1 0.00512
s001 reslice-L-FOP1-ROI scrambled 1 0.36490
s001 reslice-L-FOP1-ROI random 1 -0.01119
s001 reslice-L-FOP2-ROI intact 1 0.04279
s001 reslice-L-FOP2-ROI scrambled 1 0.14882
s001 reslice-L-FOP2-ROI random 1 0.02362
s001 reslice-L-FOP3-ROI intact 1 0.23154
s001 reslice-L-FOP3-ROI scrambled 1 0.26980
s001 reslice-L-FOP3-ROI random 1 0.12544
s001 reslice-L-FOP4-ROI intact 1 0.00620
s001 reslice-L-FOP4-ROI scrambled 1 0.11893
s001 reslice-L-FOP4-ROI random 1 -0.01168
s001 reslice-L-FOP5-ROI intact 1 -0.02139
s001 reslice-L-FOP5-ROI scrambled 1 0.22255
s001 reslice-L-FOP5-ROI random 1 0.12273
s001 reslice-L-FST-ROI intact 1 -0.00778
s001 reslice-L-FST-ROI scrambled 1 0.07897
s001 reslice-L-FST-ROI random 1 0.01768
s001 reslice-L-H-ROI intact 1 -0.15093
s001 reslice-L-H-ROI scrambled 1 -0.16855
s001 reslice-L-H-ROI random 1 -0.18714
s001 reslice-L-IFJa-ROI intact 1 0.10616
s001 reslice-L-IFJa-ROI scrambled 1 0.09236
s001 reslice-L-IFJa-ROI random 1 0.32167
s001 reslice-L-IFJp-ROI intact 1 -0.00806
s001 reslice-L-IFJp-ROI scrambled 1 -0.08063
s001 reslice-L-IFJp-ROI random 1 0.10779
s001 reslice-L-IFSa-ROI intact 1 0.09913
s001 reslice-L-IFSa-ROI scrambled 1 0.10318
s001 reslice-L-IFSa-ROI random 1 0.00569
s001 reslice-L-IFSp-ROI intact 1 0.20638
s001 reslice-L-IFSp-ROI scrambled 1 0.01962
s001 reslice-L-IFSp-ROI random 1 0.20204
s001 reslice-L-IP0-ROI intact 1 -0.15575
s001 reslice-L-IP0-ROI scrambled 1 -0.12366
s001 reslice-L-IP0-ROI random 1 -0.04043
s001 reslice-L-IP1-ROI intact 1 -0.04399
s001 reslice-L-IP1-ROI scrambled 1 -0.00882
s001 reslice-L-IP1-ROI random 1 0.12147
s001 reslice-L-IP2-ROI intact 1 0.09532
s001 reslice-L-IP2-ROI scrambled 1 0.05857
s001 reslice-L-IP2-ROI random 1 0.13542
s001 reslice-L-IPS1-ROI intact 1 -0.08247
s001 reslice-L-IPS1-ROI scrambled 1 -0.05490
s001 reslice-L-IPS1-ROI random 1 0.06346
s001 reslice-L-Ig-ROI intact 1 0.15047
s001 reslice-L-Ig-ROI scrambled 1 0.06398
s001 reslice-L-Ig-ROI random 1 0.05235
s001 reslice-L-LBelt-ROI intact 1 -0.07421
s001 reslice-L-LBelt-ROI scrambled 1 0.08782
