"Timestamp","1. For each sequence, please characterize the strategies you used to remember the verbs.","2. Did you use verbal knowledge or experience (an event) to remember each sequence? ","3. In general, while making your responses, did you think of a singular event that occurred once at a particular time and place?","4. In general, while making your responses, did you think of a summary or merging of many similar or related events?","5. In general, while making your responses, did you think of a continuous event that occurred over an  extended period of time lasting more than one day? ","",""
"2017/07/26 2:14:42 PM MDT","","","Yes, I thought of a singular event that the words pertained to and did my best to imagine each verb happen in the order they were presented in, but not so much of a particular time, more of just the place I would see each sequence happening. My imagery wasn't too personal for a lot of them, but using people or objects I have seen before to enact and set each scene in my mind helped.

- 2 scramble: I tried to imagine each verb happen as I saw the story I was creating in my mind taking place, it took more time than say the 'intact' sequences because they were more specific and random from what normally would happen. 
- 3 intact: For this I didn't really think of a singular event, but as a scheme because that is the general order we would see when trying to create a product for consumers.
- 4 scramble: Like #2, it took me some time to memorize these words due to their not normal order and I used imagery for each verb to create a story in my mind.
- 5 intact: again like #3, It was presented in an order that is usually seen in real life and I did use imagery to create a story in my mind of the events taking place.
- 6 random: As I was told, I didn't try to remember these but after seeing them a few times I was able to figure out how they were related.
- 7 scramble: for this one I figured out the verbs were related to a baby.  I didn't try to visualize them taking place, so I found it more helpful to try to pair the words in a way that made it easier to remember them. i.e. conceive: raise are in order, and deliver: carry are in another order that we would see the verbs being taken place.
- 8 random: same as #6
- 9 intact: same as #5. Except I also tried to make these events emotionally charged to remember them better. So I imagined a child doing this and the reactions he/she would have had on their face.
- 10 scramble: same as #4
- 11 intact: same as # 5
- 12 scramble: same as #4
- 13 intact: same as #5
- 14 random: same as #6
- 15 scramble: same as #4
- 16 intact: same as #5","I didn't try to think of any similar events that had happened to me, just the generalized schemes that could be imagined. I tried to create their own unique 'stories' in my mind for each sequence. I did pull in information of what I did know from similar and related events I had experienced or known for each verb and the sequence they were a part of.","No, they were more like short segments sewed together like what we would see of montages on cartoon shows. Some times each action had a smooth transition to the next if the order made sense and could physically be done or the events  would have the verb happen smoothly but in reality would be psychically impossible.
i.e. #15 scramble: the verbs order would all happen smoothly smoothly because they can all be demonstrated in the order presented in real life.
i.e. #2: I would have little 'cut scenes' for each verb and piece them together in a memorable way that made it easier for me to remember, that would be like the montage example we would see in cartoon shows.
i.e. #5: This would be an example where each verb would have a smooth transition but in reality impossible to see happen instantly like what I did in my mind. ","",""
"2017/07/28 12:50:17 PM MDT","","","2/intact - no particular event
3/scrambled - no
4/random - no
5/intact - no
6/scrambled - yes, recently bought herbs and have been growing them, related these verbs to that ongoing event 
7/intact - my cousin just had a baby on tuesday so the event that I thought of was very clear
8/scrambled - no
9/random - no
10/scrambled - no 
11/intact - no
12/intact - no
13/scrambled - no 
14/random - no
15/intact - sort of, more generally my shaving routine, although not one particular occurrence of this
16/scrambled - no","2/intact - yes very much, as this would be a common sequence of events following drinking and driving
3/scrambled - yes, even though the order was not exact (and i didnt necessarily see what the correct order would be at the time), the concept of marketing/selling was merged in my mind
4/random - not really
5/intact - yes, common order of events on the way to marriage
6/scrambled - yes, refer to question 1
7/intact - yes, merged the events leading up to having a baby
8/scrambled - did not make any real sense to me in any order
9/random - the words were related yes, but they did not really merge in my mind
10/scrambled - related words, as in children on a playground
11/intact - yes, very related in my mind, thought of these as a realistic sequence of events that could occur
12/intact - yes, very related events and in a logical order
13/scrambled - didn't see the correct order of these events, but clearly very related to playing basketball
14/random - yes, these were related events to me
15/intact - yes, these events would occur in this order and so were easy to merge in my head
16/scrambled - thought generally about graduating college and interviewing for jobs","3/scrambled - no, this event in my head lasted only a couple hours
4/random - yes, this event was less continuous but I thought of it as more of a cycle that continued
5/intact - no, not continuous
6/scrambled - no, not continuous
7/intact - yes
8/scrambled - no, not more than 1 day
9/random - not lasting more than a day, but also not continuous
10/scrambled - i thought of this as a cycle of events that could happen on a playground, but not necessarily continuous
11/intact - definitely a continuous event, but not lasting more than 1 day
12/intact - yes, continuous and lasting more than 1 day
13/scrambled - not lasting more than 1 day and also not particularly continuous
14/random - completely random, not continuous
15/intact - not more than one day, but continuous
16/scrambled - over several years, but not continuous","No","No"
"2017/08/02 10:58:33 AM MDT","","","2 scrambled no
3 random1 no
4 intact no
5 scrambled no
6 intact no
7 scrambled no
8 intact no
9 scrambled no
10 random2 no
11 intact yes
12 random3 no
13 intact no
14 scrambled no
15 intact no
16 scrambled no","2 scrambled yes
3 random1 no
4 intact no
5 scrambled no
6 intact yes
7 scrambled no
8 intact yes
9 scrambled yes
10 random2 yes
11 intact no
12 random3 yes
13 intact yes
14 scrambled yes
15 intact yes
16 scrambled no","2 scrambled no
3 random1 yes
4 intact yes
5 scrambled yes
6 intact yes
7 scrambled yes
8 intact no
9 scrambled no
10 random2 no
11 intact no
12 random3 yes
13 intact no
14 scrambled yes
15 intact no
16 scrambled yes","No problems. ","I think that the problems I had were there on purpose, like trying to figure out if a word like name was pleasant or not. I know for some words I probably answered one way the first time and another way the second because of this. It was also very hard not to let the words before in the group influence how I answered, like seeing apply after work I would normally say apply was more pleasant because of applying yourself and then getting rewarded possibly but after seeing work it made me think of applying for jobs which is not pleasant. Again, probably the point of how it was set up. "
"2017/08/24 2:48:51 PM MDT","","","no for all","yes for 2, 5, 6, 7, 9, 12, 13, 15 and no for the rest","yes for 3, 4, 16 (kind of) and no for the rest","","2, intact --  I realized that it was a basic drinking and driving scenario so I imagined the scene in my head each time it came up
3, scrambled -- this one was harder but i used the ""m's"" in market and manufacture to group those two and went backwards from the end because i knew that research came before development which came before selling which helped memorize them as sell -> develop -> research
4, random1 -- I did the same thing as 2, intact where it just made the most logical sense and imagined a solider each time going through the actions
5, scrambled -- i knew date was first because I related it to my own life and then knew that celebrate would be next since you celebrate anniversaries and then you get married and for meet this was harder because i didnt know what to relate it to so i just memorized it as meet after marry and then propose i just memorized as the one that went in the end
6, intact -- this one was a logical storyline too and i imagined myself planing, watering, growing, harvesting, and then eating plants. i immediately thought of the garden in front of the dorms i stayed in last year whenever this sequence popped up
7, intact -- this was also just a logical sequence about a baby that i just memorized because it made sense
8, random2 -- i dont think this one had an order
9, intact -- i imagined a fire being lighted and then burning and then spreading and destroying and then being extinguished in an imaginary forest
10, scrambled -- i imagined a kid running and then hitting a playground and then going on the slide and then getting off to play tag and then for swing i just memorized it as being last because i like swings and saved the best part of the playground for last
11, scrambled -- i imagined two people sitting at a table and then one person crying and then sipping on tea and then having a clean table and then spilling the tea and then crying and having to be consoled. the ""clean"" word was the hardest to memorize because i kept thinking spill was after sip and would get thrown off each time clean came up
12, intact -- i imagined myself writing a letter, sealing it, postmarking it, sending it, and then someone else opening it
13, scrambled -- every time jump came up, i would imagine basketball where someone would jump and shoot and score and then get the ball back to pass the ball where the other person would shoot and then miss and then the other team would get to dribble the ball to the other side
14, random3 -- i think this one was a random sequence too
15, intact -- i imagined myself in the shower lathering my legs, shaving, rinsing, drying them off with a towel, and then moisturizing them
16, scrambled -- this one was also one of the harder ones but i knew work was first and then memorized it by thinking that you have to apply for a certificate when you graduate, and then you have to save up money while you are looking for jobs and then have to go in for interviews when you want a job




"
"2017/08/30 2:45:52 PM MDT","","","intact - 2  - No   

scramble - 3 -  Yes; I thought of a beer brewing lecture where all of these words were used and explained in the beer brewing manufacturing process. 

random1 - 4 - I thought of a military advertisement that I saw once and it helped me connect these words.

scramble - 5 - No

intact - 6 - No

scramble - 7 - No 

intact - 8 - No

random2 - 9 - Yes; I thought of the book Fahrenheit 451, a book that I read once in high school. 

intact - 10 - Yes; I thought of a baseball game that I have seen my siblings take part of once which helped me to remember these words.

scramble - 11 - No 

intact - 12 - Yes, I thought of the time that I have written a very long letter. I have only done it once so it was very vivid and helped me to recollect this set well. 

scramble - 13 - No 

random3 - 14 - No 

intact - 15 - No 

scramble - 16 - No","intact - 2  -  Yes. I thought of my own experiences in a car and crime tv shows that melded together to help me recollect these words. 

scramble - 3 -  No

random1 - 4 - No

scramble - 5 -  No

intact - 6 - No 

scramble - 7 - No

intact - 8 - Yes; I thought of tv shows and animated films that depict the restaurant process in its entirety. 

random2 - 9 - No

intact - 10 - No

scramble - 11 - No 

intact - 12 - No

scramble - 13 - Yes; I thought of the various movies and actual basketball games that I have seen to help tie in these words. 

random3 - 14 - Yes; I thought of law and order tv shows as well as my own studies in regards to law and due process. 

intact - 15 - No

scramble - 16 - No ","intact - 2  -  No

scramble - 3 -  No

random1 - 4 - No

scramble - 5 - Yes; I thought of my own relationship and hopes for where it will lead as well as the expectations of my relationship by those around me over the years.

intact - 6 - Yes; I thought of my family's numerous attempts at growing crops as well as our failures and successes with the process. I was reminded of the numerous instances over the years that still go on today. 

scramble - 7 -  Yes; I thought of my mom and her pregnancies as well as my own experience in taking care of children and assisting my family members   

intact - 8 - No

random2 - 9 - No

intact - 10 - No

scramble - 11 - No

intact - 12 - No

scramble - 13 - No

random3 - 14 - No

intact - 15 - Yes; I thought of my experiences with cleaning houses, myself, as well as other things. Each time I encountered this set, I would recall my experiences which would span across my day to day life. 

scramble - 16 - Yes; I thought of my experiences in my senior year of high school leading up to starting UC Davis. This process took up a good year and a half so I remember it vividly. ","No","No"
"2017/09/21 3:09:37 PM MDT","","","For the scanner tasks, I did not focus on recalling some specific episode and instead tried to focus on the general meaning of the individual verbs. Maybe I would have been more likely to have if there were not random sequences which makes that strategy less useful if you can't immediately remember which sequences are random and which are not. 

I did make more concrete episodes during the behavioral learning/testing phase which I am sure carried over to the scanner session to some degree. Here, the random sequences I purposefully tried not to incorporate into an episode, as it was pointless and could hinder the retention of the critical sequences. But still, they formed some kind of event.


intact - 2 - I thought of a typical drunk driving arrest, maybe like the ones in some commercial.

scrambled - 3 - I thought of some marketing company selling products.

random - 4 -  I thought of people going to war

intact - 5 - I thought of a date leading to a marriage, but the episode was the meeting/date, and the marriage was just going to happen in the future.

scrambled - 6 - I thought of a produce farm scene, like the farms you see in the central valleys of California. 

intact - 7 - I thought of a birth in a hospital.

scrambled - 8 - I constructed a weird restaurant scene where someone arrived already eating food and brought a book to read. 

intact - 9 - I thought of burning leaves  in the woods like I did when I was a kid. The destroy and extinguish were just possible outcomes.

random - 10 - I thought of recess as a kid, doing random different things each day.

scrambled - 11 - I thought of a child spilling something and remembered it was out of order but the first letters went c-s-c-s-c (I only used the letters strategy for the testing part)

scrambled - 12 - I thought of a vague letter writing scene but it wasn't very concrete because it was scrambled and no one writes letters anymore.

intact - 13 - I thought of playing basketball. The ""pass"" throws the episode off a little bit because it implies a change of subject. 

scrambled - 14 - I made some vague legal scenario where people were still investigating after the trial. 

random - 15 - I grouped all the verbs into a general shower/shaving event where order didn't matter.

intact - 16 - I thought of some recent graduate applying to jobs.","
Like mentioned above, more so in the first tasks and less in the scanner session. But yes, I merged the concepts in to some kind of event or sequence.
","
For the non-random sequences, I think the first or second verb in the sequence defined the representation and the other verbs just added on to it. But they were usually from the perspective of the initial events. The exception might be the DUI one, where the later information (the arrest) became more salient and defined the episode. 

For other ones, especially the random sequences and some of the scrambled ones, there was not really a stable episode or event. Just a general, less temporally constrained, associative scene which would allow any subsequent but related verb to occur.","No","I did use knowledge of the trial conditions to make responses. That is, recalling based on the first word of a sequence that ""this is a congruent sequence/a scrambled one/random"". I also sometimes constructed some kind of scene (see below).
"
"2017/09/27 3:07:18 PM MDT","2 - scrambled - This sequence logically made no sense. When It came to scrambled ones like this I kind of used my own logic. Like you were stopped because you swerved, you swerved because you had a drink, you were arrested because of the drink, and you drove. 
3 - Intact-  This one I was able to remember because it is basically in the order in which things occur. To me it was easy to remember because it just made sense. 
4-random- This one did not need to be remembered as it was always random. 
5-Scramble- I found this one hard to remember because of course its not how I would characterize a relationship to occur. I tried to picture a senerio in which this would happen and it kind of made me think of ""90 day fiance"" 
6-Intact- Again this one was in logical order and I could picture this because at home we do alot of gardening so I could see myself going through this process 
7-intact- I found this one rather easy to remember because it was in logical order of events. This is how I see this life event to occur. 
8-Scramble- I tried my best to remember this one and tried to more like memorize with repetition but I couldn't come up with a way to really remember it.
9- Intact- Again this one was easy to remember because I could picture like a way a fire starts and the words were in logical order. 
10-Scramble- I could not find a single way to actually try and memorize this one.  
11-Random- couldnt even try 
12- Intact- Persoanlly i dont write letters but this one was very easy to picture. 
13-scramble- For this one i tried to create a picture but I had a very hard time doing so. 
14-random- coudlnt 
15-intact- Shaving is something that of course I encounter so it was not hard to remeber this process. 
16-scramble- I was not reallt able to create anything. I tried saying the words out loud to remember. ","Yes, For some I could relate them to my life and things that I have personally experienced. Others I tired to paint pictures in my head of what these things might look like ","no, I used different events or senerios for different ones ","No, I didn't relate any of the sequences to the others. ","no, All the sequences I related to their own thing. ","",""
"2017/10/12 3:03:45 PM MDT","intact - 2 - drink then drive didn't make sense, but once swerve came up, realized that it was related to drunk driving, so I tried to follow logical steps if someone were to get pulled over for drunk driving. 

scrambled - 3 - was able to figure out this was related to making a product, but it was out of order, so could remember manufacture came after market because they both started with ""m"", but then sell and develop confused, and remembered research was last because I do research.

intact - 4 - thought of steps someone who joined army would take. it followed logical order, so was able to remember.

random1 - 5 - this was difficult to remember because it was out of order sometimes, but they were all related to dating and marriage, so having been exposed to a lot of tv and real life situations, was easy to remember words, but difficult to understand order because it was logical sometimes, and mixed up the next.

scrambled - 6 - again, was able to remember first two words in the same order, but got confused for words 3,4,5 of sequence because they were in non-logical order.

intact - 7- just thought of the steps of a couple getting pregnant and having a child.

scrambled - 8- read followed by chew didn't seem related, but then chew made sense with the other words. It was easy to tell it was someone who would go to a restaurant. I just went to a restaurant this weekend and had to wait a good 20 minutes for a table, so wait was fresh in my mind and unpleasant, even though generally a patient person. I still did not associate ""read"" with reading a menu until after the second pass.

intact - 9- Realized this had to do with a fire, but for some reason thought of spreading mayo on bread, instead of a fire spreading the first couple of times. 

random2 - 10 - These sports actions, most of them I thought of baseball, even though I don't play and only watched a couple times. For tag, I thought of playing tag with friends as a child.

scrambled - 11 - This was challenging, but remembered the outside words ""cry"" and ""console"" because they related to each other, and sip I just memorized as being after cry. I had to remember ""clean"" and ""spill"" as coming together, but I think once I put ""spill"" before ""clean"" because it was more logical that way. I remembered 3 sets of words: cry/console, sip, clean/spill.

scrambled - 12 - was able to associate open/seal together, but send/write/postmark were difficult to remember because out of order. i just had to remember postmark was last and would often mix up the order of ""send"" and ""write"" because out of sequence.

intact -13 - had a picture of someone playing basketball in my head. I thought of Kobe Bryant dribbling and passing and Derek Fisher shooting a 3-pointer. Also, passing I thought of myself passing the ball to my friend during high school basketball try-outs.

random3 - 14 - I could  put these together as taking place in a court house, but difficult to remember in the order presented because learned as a different order in real life/ seen on tv shows. Also not a fan of law or tv shows, so don't really pay attention to the order, but know most from crime shows like CSI.

intact - 15 - Just thought of someone taking a shower, had the phrase ""lather, rinse, repeat"" stuck in my head. Thought of the commercials of women splashing their face with water for ""rinse"" and thought of Dove commercial for ""moisturize.""

scrambled - 16 - Thought of my own experience of applying to school, graduating, trying to save money. Had difficulty remembering this sequence because the process is so ingrained into my memory and school culture that was hard to place out of order and remember new ordering.




","Most was experience, either doing myself or seeing it be done by others or on TV.

scrambled - 3- I thought of the show ""Shark Tank"" where people develop an idea and ask investors to back them for manufacturing and marketing so they could sell product.

intact -4- remembered an Army commercial where it shows a person training, then being deployed, and fighting. also thought of all the news clips of soliders returning to surprise their children.

scrambled - 6 - Thought of when I sprouted lima beans in elementary school.

scrambled -8- Thought of going to restaurant over the weekend.

intact - 9 - for ""spread"" thought of a more closer experience of spreading mayonnaise on bread instead of a fire spreading because it was more relatable to myself. I am learn by doing, so couldn't think of abstract fire spreading, even though I hear and see it on the news a lot, but actually spreading the mayo made sense to me.

scrambled - 11 - Thought of me consoling a distressed friend. Spill/clean remembered a story my mom told me about her spilling her drink during her family dinners and her mom cleaning it up.

intact - 13 - Thought of watching basketball (2003 Lakers to be exact - best roster).

intact - 15 - just thought of commercials and actually taking a shower/doing.

scrambled - 16 - going to school/college and seeing others apply for jobs.","Most sequences I thought of a specific time and place, for an example, whether it was my own life and experience or something I had seen on TV.","Sometimes I would think of more than one example of the verb during the same sequence, or think of the second example the second time I saw the same sequence.","No, I just thought of single examples from one specific day.","",""
"2017/10/20 3:42:17 PM MDT","intact - 2 - thought about a generic drunk driving accident
scrambled - 3 - thought about words relevant to businesses, didn't necessarily think of a sequence of events
random1 - 4 - thought of military related words, didn't necessarily think of the ordinal sequence of events
intact - 5 - thought of the general pattern of a relationship
scrambled - 6 - thought of farming related words, not a specific event
scrambled - 7 - thought of the sequence of events for having a kid
intact - 8 - thought of a generic time of sitting at a restaurant
random2 - 9 - thought of a generic wildfire situation
intact - 10 - thought of a generic baseball game
scrambled - 11 - thought of spilling milk and the sequence that happens
intact - 12 - thought of how to send a generic letter
scrambled - 13 - thought of a generic basketball game
random3 - 14 - thought of legally related words and a generic sequence of events
scrambled - 15 - thought of generic sequence of taking a shower
intact - 16 - thought of my personal experience of graduating college","intact - 2 - thought of an event, drunk driving crash
scrambled - 3 - used mainly verbal knowledge of business related words
random1 - 4 - used mainly verbal knowledge of military related words
intact - 5 - thought of events of people getting married
scrambled - 6 - used verbal knowledge of crop related words
scrambled - 7 - thought of people I know having kids
intact - 8 - thought of personally going to a restaurant to get food
random2 - 9 - thought about seeing wildfires on tv
intact - 10 - thought of being at a baseball game
scrambled - 11 - thought of the story about not crying over spilled milk
intact - 12 - thought of when I personally sent letters
scrambled - 13 - thought of when I watched basketball games
random3 - 14 - used verbal knowledge of legal words
scrambled - 15 - thought of personally taking showers
intact - 16 - thought of specific event of me graduating college

","intact - 2 - no
scrambled - 3 - no
random1 - 4 - no
intact - 5 - no
scrambled - 6 - no
scrambled - 7 - no
intact - 8 - no
random2 - 9 - no
intact - 10 - no
scrambled - 11 - no
intact - 12 - no
scrambled - 13 - no
random3 - 14 - no
scrambled - 15 - no
intact - 16 - yes

","intact - 2 - yes
scrambled - 3 - no
random1 - 4 - yes
intact - 5 - yes
scrambled - 6 - no
scrambled - 7 - yes
intact - 8 - yes
random2 - 9 - yes
intact - 10 - no
scrambled - 11 - yes
intact - 12 - yes
scrambled - 13 - yes
random3 - 14 - no
scrambled - 15 - yes
intact - 16 - no

","intact - 2 - no
scrambled - 3 - yes
random1 - 4 - yes
intact - 5 - yes
scrambled - 6 - yes
scrambled - 7 - yes
intact - 8 - no
random2 - 9 - no 
intact - 10 - no
scrambled - 11 - no
intact - 12 - no
scrambled - 13 - no
random3 - 14 - yes
scrambled - 15 - no
intact - 16 - yes

","",""
"2017/10/25 2:23:19 PM MDT","Intact - 2 - I thought of what happens to people in a college town if they stay out late and try to find their way home.
Scrambled - 3 - This sequence is nearly the reverse of some tactics to creating a new product, which helped me remember the order shown. 
Intact - 4 - Relatively straightforward approach to how fortunate soldiers join and return from warfare from television and film.
Scrambled - 5 - I used ""meet"" in the middle to imagine meeting a partner's parents before ""proposing"". ""Celebrate"" could be after a pleasant ""date"".
Random1 - 6 - I thought of the life cycles of food and crops.
Intact - 7 - I imagined the process of a family welcoming a new child.
Scrambled - 8 - I thought of being in a busy restaurant with a newspaper waiting for a seat at a booth to open up.
Intact - 9 - I thought of the recent wildfires in California - I recently wrote an article on wildfire smoke.
Random2 - 10 - I imagined the upcoming World Series and playing kickball with my friends.
Scrambled - 11 - I thought of a child spilling a drink and taking care of them.
Intact - 12 - I used to send mail to a friend and recalled the back and forth process.
Scrambled - 13 - Basketball season recently started, and I thought of playing with my friends.
Intact - 14 - I remembered television and film depictions of police investigations & courtroom drama. 
Scrambled - 15 - ""Dry"" came before ""lather"", and I thought it funny to imagine somebody with shaving cream on their face after finishing their self-care.
Random3 - 16 - I thought of my undergraduate career and searching for work afterwards.","Intact - 2 - experience
Scrambled - 3 - verbal knowledge
Intact - 4 - experience
Scrambled - 5 - experience
Random1 - 6 - verbal knowledge
Intact - 7 -  experience
Scrambled - 8 - experience
Intact - 9 - experience
Random2 - 10 - experience
Scrambled - 11 - experience
Intact - 12 - verbal knowledge
Scrambled - 13 - verbal knowledge
Intact - 14 - experience
Scrambled - 15 - verbal knowledge
Random3 - 16 - experience","Intact - 2 - Yes.
Scrambled - 3 - No.
Intact - 4 - No.
Scrambled - 5 - No.
Random1 - 6 - No.
Intact - 7 -  No.
Scrambled - 8 - Yes.
Intact - 9 - No.
Random2 - 10 - No.
Scrambled - 11 - Yes.
Intact - 12 - No.
Scrambled - 13 - No. 
Intact - 14 - No.
Scrambled - 15 - No.
Random3 - 16 -  Yes,","Intact - 2 - No.
Scrambled - 3 - No.
Intact - 4 - Yes.
Scrambled - 5 - Yes.
Random1 - 6 - Yes.
Intact - 7 -  Yes.
Scrambled - 8 - Yes.
Intact - 9 - Yes.
Random2 - 10 - Yes.
Scrambled - 11 - No.
Intact - 12 - Yes.
Scrambled - 13 - Yes. 
Intact - 14 - Yes.
Scrambled - 15 - Yes.
Random3 - 16 - Yes.","Intact - 2 - No.
Scrambled - 3 - Yes.
Intact - 4 - Yes.
Scrambled - 5 - Yes. 
Random1 - 6 - Yes.
Intact - 7 -  Yes.
Scrambled - 8 - No.
Intact - 9 - Yes.
Random2 - 10 - No.
Scrambled - 11 - No.
Intact - 12 - No.
Scrambled - 13 - No.
Intact - 14 - Yes.
Scrambled - 15 - No.
Random3 - 16 - Yes.","",""
